	ENSEMBL	SYMBOL	logFC	logCPM	PValue	FDR
254559	ENSG00000255571	MIR9-3HG	5.906065866	4.736929607	3.45E-49	4.95E-47
10881	ENSG00000187003	ACTL7A	13.76423813	5.932816233	3.93E-49	5.61E-47
6692	ENSG00000166145	SPINT1	-5.116707932	6.416943779	4.03E-49	5.70E-47
147719	ENSG00000273111	LYPD4	14.22485313	6.392115411	4.28E-49	6.02E-47
11055	ENSG00000042813	ZPBP	13.59637849	5.765549826	5.19E-49	7.26E-47
83889	ENSG00000171804	WDR87	10.69738033	6.186960086	5.74E-49	7.98E-47
22844	ENSG00000070601	FRMPD1	7.684353977	4.675001941	6.56E-49	9.06E-47
138724	ENSG00000174038	C9orf131	9.848554317	5.341577779	7.21E-49	9.90E-47
3778	ENSG00000156113	KCNMA1	-3.740978851	6.649472306	8.43E-49	1.15E-46
1804	ENSG00000130226	DPP6	5.292163277	4.466961672	8.47E-49	1.15E-46
166863	ENSG00000151962	RBM46	10.21701464	5.195769524	1.05E-48	1.42E-46
50859	ENSG00000196104	SPOCK3	-7.741612785	6.544912705	1.49E-48	2.00E-46
4112	ENSG00000214107	MAGEB1	11.69849632	3.88248264	1.60E-48	2.14E-46
84660	ENSG00000130783	CCDC62	8.675406519	6.974684215	2.99E-48	3.96E-46
63948	ENSG00000143006	DMRTB1	13.28553161	5.456011569	3.38E-48	4.45E-46
374973	ENSG00000186118	TEX38	8.480311804	5.301978908	3.78E-48	4.95E-46
50613	ENSG00000175520	UBQLN3	12.4969806	6.661065226	4.75E-48	6.19E-46
414157	ENSG00000203942	C10orf62	11.64492512	5.812021256	5.24E-48	6.79E-46
89882	ENSG00000170777	TPD52L3	12.30886916	6.473482337	6.61E-48	8.52E-46
3792	ENSG00000197993	KEL	8.384714903	5.755964961	7.14E-48	9.14E-46
25891	ENSG00000149090	PAMR1	-5.064238054	4.52197486	1.05E-47	1.34E-45
339779	ENSG00000186143	PRR30	13.35516337	5.525315759	1.14E-47	1.44E-45
93661	ENSG00000177938	CAPZA3	10.96193698	5.140380728	1.69E-47	2.13E-45
219681	ENSG00000165309	ARMC3	8.785949148	5.220110757	2.01E-47	2.52E-45
261729	ENSG00000157214	STEAP2	-6.811089709	9.134501083	2.06E-47	2.56E-45
11123	ENSG00000117602	RCAN3	-4.076673951	6.720282121	5.05E-47	6.25E-45
84692	ENSG00000138483	CCDC54	7.352630012	5.456027243	5.99E-47	7.37E-45
7141	ENSG00000118245	TNP1	13.56095801	7.722659901	7.26E-47	8.89E-45
9455	ENSG00000103942	HOMER2	-3.642760272	7.106190853	1.03E-46	1.26E-44
51109	ENSG00000072042	RDH11	-4.483354171	9.565719118	1.09E-46	1.32E-44
114824	ENSG00000198883	PNMA5	9.870401845	4.052004807	1.27E-46	1.52E-44
7153	ENSG00000131747	TOP2A	5.554273879	7.305100562	1.27E-46	1.52E-44
9271	ENSG00000125207	PIWIL1	11.44830565	7.31338779	1.53E-46	1.82E-44
5121	ENSG00000183036	PCP4	-8.399594679	6.027900355	5.49E-46	6.51E-44
80157	ENSG00000109182	CWH43	-8.842167518	6.133014055	5.58E-46	6.58E-44
64757	ENSG00000186205	1-Mar	-4.928717466	5.357962885	6.48E-46	7.61E-44
145942	ENSG00000166069	TMCO5A	13.23574036	5.406443536	7.32E-46	8.55E-44
57529	ENSG00000243978	RTL9	7.294574539	4.680314614	8.59E-46	9.98E-44
84519	ENSG00000111644	ACRBP	7.163726577	7.689637283	9.60E-46	1.11E-43
66037	ENSG00000152430	BOLL	10.79530734	5.775069358	1.20E-45	1.38E-43
284403	ENSG00000075702	WDR62	7.235063088	7.126709779	1.33E-45	1.52E-43
7490	ENSG00000184937	WT1	5.425528689	5.665284208	1.57E-45	1.79E-43
79740	ENSG00000169064	ZBBX	9.710951156	5.204640993	1.81E-45	2.05E-43
5152	ENSG00000160191	PDE9A	-4.42019535	5.802629942	1.87E-45	2.10E-43
54763	ENSG00000065371	ROPN1	13.08894364	5.260379782	1.87E-45	2.10E-43
84879	ENSG00000168389	MFSD2A	5.804939018	5.628929026	2.69E-45	3.00E-43
133491	ENSG00000185056	C5orf47	10.69635132	4.868974959	3.15E-45	3.50E-43
158401	ENSG00000165181	SHOC1	7.773825551	5.167307354	4.38E-45	4.84E-43
732253	ENSG00000204091	TDRG1	10.64749411	4.820534974	4.62E-45	5.08E-43
83893	ENSG00000144962	SPATA16	13.34893826	5.519106878	5.47E-45	5.99E-43
81833	ENSG00000118434	SPACA1	11.99813885	4.17821449	5.54E-45	6.03E-43
1803	ENSG00000197635	DPP4	-6.727284291	7.957788303	5.59E-45	6.06E-43
478	ENSG00000105409	ATP1A3	8.399747829	6.363720982	6.79E-45	7.32E-43
166824	ENSG00000169435	RASSF6	-7.209014017	4.165858257	8.42E-45	9.04E-43
162333	ENSG00000173838	MARCHF10	8.27987234	5.540261569	1.01E-44	1.08E-42
11085	ENSG00000134249	ADAM30	12.88831075	5.060888153	1.32E-44	1.41E-42
132851	ENSG00000150628	SPATA4	8.449795538	5.833482529	1.70E-44	1.80E-42
83894	ENSG00000137473	TTC29	10.95557274	5.938634419	1.77E-44	1.86E-42
57082	ENSG00000137812	KNL1	7.350359233	6.603249202	3.22E-44	3.38E-42
91807	ENSG00000140795	MYLK3	5.530542136	5.155659322	4.65E-44	4.86E-42
128821	ENSG00000101435	CST9L	10.51730762	4.691355862	6.28E-44	6.53E-42
729475	ENSG00000214842	RAD51AP2	7.044149765	3.880347355	6.64E-44	6.87E-42
59272	ENSG00000130234	ACE2	7.702979899	6.712510029	6.77E-44	6.98E-42
63946	ENSG00000142025	DMRTC2	12.7095364	4.883273296	1.39E-43	1.43E-41
145946	ENSG00000185594	SPATA8	14.37464359	6.541552491	1.60E-43	1.64E-41
1135	ENSG00000120903	CHRNA2	-10.26718605	6.127973965	1.61E-43	1.64E-41
26330	ENSG00000105679	GAPDHS	9.783351492	4.769162239	1.62E-43	1.64E-41
83715	ENSG00000187017	ESPN	4.377885676	6.052699517	1.70E-43	1.71E-41
4184	ENSG00000163206	SMCP	11.5585012	6.526089364	1.97E-43	1.97E-41
56163	ENSG00000132972	RNF17	8.402230361	5.656978897	2.26E-43	2.26E-41
6652	ENSG00000140263	SORD	-4.905685624	7.696269949	2.65E-43	2.64E-41
200162	ENSG00000155761	SPAG17	7.514434369	5.677905606	2.78E-43	2.74E-41
57110	ENSG00000127252	PLAAT1	10.33258482	4.515770652	2.78E-43	2.74E-41
245932	ENSG00000180483	DEFB119	9.648010678	5.512061615	3.56E-43	3.49E-41
100996490	ENSG00000242512	LINC01206	11.76679171	5.932841447	4.03E-43	3.93E-41
157313	ENSG00000184661	CDCA2	6.70660331	5.200229804	4.27E-43	4.15E-41
6511	ENSG00000105143	SLC1A6	6.482866496	4.622888554	6.34E-43	6.14E-41
146212	ENSG00000168676	KCTD19	9.64043334	6.261644677	7.95E-43	7.66E-41
57158	ENSG00000149596	JPH2	-4.307144406	5.362676033	8.73E-43	8.38E-41
395	ENSG00000047648	ARHGAP6	-4.098762007	6.664766167	8.79E-43	8.40E-41
5619	ENSG00000175646	PRM1	12.72881245	8.871456168	9.07E-43	8.63E-41
149018	ENSG00000203784	LELP1	13.50693587	5.676429574	1.22E-42	1.16E-40
56164	ENSG00000196335	STK31	7.173250023	6.653447016	1.72E-42	1.62E-40
9099	ENSG00000036672	USP2	4.851897069	6.030212529	1.97E-42	1.86E-40
134	ENSG00000163485	ADORA1	6.977119644	4.780699458	2.96E-42	2.77E-40
1832	ENSG00000096696	DSP	-4.233530297	7.417169464	2.98E-42	2.78E-40
84076	ENSG00000151005	TKTL2	13.79434697	5.962802917	3.36E-42	3.12E-40
79025	ENSG00000125531	FNDC11	6.59565629	4.485265113	3.53E-42	3.26E-40
56269	ENSG00000124449	IRGC	12.89956	5.072051173	3.71E-42	3.41E-40
4435	ENSG00000125931	CITED1	4.565840991	5.315258267	4.31E-42	3.95E-40
27136	ENSG00000114487	MORC1	8.276730889	4.905580214	4.36E-42	3.98E-40
56903	ENSG00000218823	PAPOLB	11.58843591	5.764886702	4.95E-42	4.50E-40
401546	ENSG00000188959	C9orf152	-10.26591137	4.966914757	5.30E-42	4.81E-40
1538	ENSG00000183035	CYLC1	11.748503	3.931603493	5.81E-42	5.25E-40
256646	ENSG00000184507	NUTM1	12.47113937	4.646644205	7.14E-42	6.42E-40
55359	ENSG00000060140	STYK1	-6.537154051	4.187262707	1.44E-41	1.29E-39
50846	ENSG00000139549	DHH	6.361448817	3.886786851	1.63E-41	1.45E-39
127254	ENSG00000178965	ERICH3	10.08204976	5.959407908	1.94E-41	1.72E-39
139105	ENSG00000177324	BEND2	8.165434373	3.672823179	2.06E-41	1.82E-39
128229	ENSG00000163467	TSACC	8.711857628	6.816402758	3.49E-41	3.08E-39
50636	ENSG00000146205	ANO7	-8.361698809	7.808743105	3.56E-41	3.12E-39
84366	ENSG00000159182	PRAC1	-12.02316323	4.19201424	3.78E-41	3.30E-39
100507629	ENSG00000226995	LINC00658	9.708806003	3.892148896	3.84E-41	3.35E-39
79628	ENSG00000169247	SH3TC2	4.468123495	5.081910429	5.09E-41	4.42E-39
5042	ENSG00000151846	PABPC3	7.169628963	5.656502887	9.32E-41	8.06E-39
6920	ENSG00000204219	TCEA3	-3.895579934	5.843717551	9.59E-41	8.25E-39
57413	ENSG00000121933	TMIGD3	7.930148732	4.36463263	9.61E-41	8.25E-39
286499	ENSG00000179083	FAM133A	7.288166047	3.738669784	9.92E-41	8.46E-39
57619	ENSG00000138771	SHROOM3	-3.944217949	5.926413214	9.93E-41	8.46E-39
1033	ENSG00000100526	CDKN3	7.486177335	5.66675927	1.11E-40	9.42E-39
148066	ENSG00000105428	ZNRF4	12.35112178	4.527620978	1.17E-40	9.86E-39
1068	ENSG00000177143	CETN1	11.94355956	6.108569281	1.33E-40	1.12E-38
84691	ENSG00000135248	FAM71F1	8.757724113	5.405414438	1.37E-40	1.15E-38
90701	ENSG00000166562	SEC11C	-3.391281674	7.094084519	1.39E-40	1.16E-38
26298	ENSG00000135373	EHF	-7.791513068	7.102511727	1.50E-40	1.25E-38
140462	ENSG00000102048	ASB9	5.257024418	4.63857124	1.51E-40	1.25E-38
2516	ENSG00000136931	NR5A1	6.944322858	4.467456418	1.56E-40	1.29E-38
284071	ENSG00000180336	MEIOC	6.837018942	5.701614809	1.75E-40	1.44E-38
25859	ENSG00000152931	PART1	-8.896583387	5.218923006	2.20E-40	1.81E-38
10665	ENSG00000204296	TSBP1	10.21759321	4.39775403	3.84E-40	3.14E-38
153643	ENSG00000153347	FAM81B	9.260412193	5.129936654	4.46E-40	3.64E-38
150280	ENSG00000176635	HORMAD2	12.08706936	4.266120597	5.17E-40	4.20E-38
27288	ENSG00000170748	RBMXL2	10.57428015	4.747333111	7.92E-40	6.41E-38
92483	ENSG00000171989	LDHAL6B	9.252135939	4.76531979	9.14E-40	7.37E-38
255743	ENSG00000168743	NPNT	-4.079784696	6.970209957	1.14E-39	9.17E-38
400757	ENSG00000203963	C1orf141	11.25177304	3.442651379	1.24E-39	9.92E-38
340543	ENSG00000204065	TCEAL5	4.721955371	4.973362992	1.29E-39	1.03E-37
6565	ENSG00000163406	SLC15A2	-3.629927359	7.15983491	1.67E-39	1.33E-37
56659	ENSG00000152315	KCNK13	5.882264093	3.948520391	2.10E-39	1.67E-37
2861	ENSG00000170775	GPR37	4.142096141	4.987382468	2.45E-39	1.93E-37
203328	ENSG00000157303	SUSD3	5.253327965	5.195079215	2.68E-39	2.11E-37
2042	ENSG00000044524	EPHA3	-4.250255565	6.232572306	3.17E-39	2.49E-37
2053	ENSG00000120915	EPHX2	-2.929350162	6.615559707	4.42E-39	3.46E-37
140625	ENSG00000169717	ACTRT2	11.04446863	5.218115891	4.68E-39	3.64E-37
49	ENSG00000100312	ACR	8.255314614	5.078925879	4.82E-39	3.74E-37
1366	ENSG00000181885	CLDN7	-5.285935297	4.541590602	5.27E-39	4.08E-37
124404	ENSG00000140623	SEPTIN12	10.65670092	5.636059386	6.05E-39	4.66E-37
8900	ENSG00000133101	CCNA1	8.619233152	5.733888004	6.15E-39	4.72E-37
51364	ENSG00000004838	ZMYND10	8.193820016	6.903981029	6.50E-39	4.98E-37
646	ENSG00000169594	BNC1	7.599714426	5.788302132	1.04E-38	7.94E-37
4605	ENSG00000101057	MYBL2	5.002427042	4.625900642	1.42E-38	1.08E-36
147872	ENSG00000161609	CCDC155	9.801948578	5.659606518	1.87E-38	1.42E-36
147798	ENSG00000167608	TMC4	-5.313048953	5.889449175	2.48E-38	1.87E-36
79616	ENSG00000135083	CCNJL	4.462085746	4.250054715	2.73E-38	2.05E-36
8468	ENSG00000077800	FKBP6	12.73375154	4.907301582	3.48E-38	2.61E-36
100505964	ENSG00000237401	LINC01304	12.22514338	4.402769629	3.64E-38	2.72E-36
136263	ENSG00000165120	SSMEM1	11.40491215	3.593009913	4.28E-38	3.19E-36
595	ENSG00000110092	CCND1	-3.645630291	7.038070518	6.14E-38	4.56E-36
387837	ENSG00000256660	CLEC12B	7.297843282	4.118674245	6.80E-38	5.03E-36
84229	ENSG00000159625	DRC7	11.48026011	5.646924956	7.10E-38	5.24E-36
9506	ENSG00000101951	PAGE4	-5.957685669	5.01536932	8.24E-38	6.06E-36
56155	ENSG00000121101	TEX14	6.583222106	6.178454235	8.59E-38	6.30E-36
57119	ENSG00000101448	EPPIN	8.615162318	5.844771031	1.20E-37	8.76E-36
80063	ENSG00000166669	ATF7IP2	3.856298811	5.55681325	1.59E-37	1.16E-35
4751	ENSG00000117650	NEK2	7.287714965	5.937577157	1.98E-37	1.44E-35
56	ENSG00000134940	ACRV1	8.187879365	4.825338541	2.03E-37	1.47E-35
23336	ENSG00000182253	SYNM	-4.808214332	8.316756193	2.23E-37	1.61E-35
165100	ENSG00000177673	TEX44	10.08465674	5.067250652	2.71E-37	1.95E-35
